Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,ACEH ,ACEH II,Nasdem,Hj. FATIMAH,PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,Nasdem,"Hj. ISMANIAR, S.E.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Perindo,"HUSAINI M. AMIN, S.E.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PAN,Ir. H. MAWARDI ALI,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Nasdem,"Ir. H. NASARUDDIN, M.M.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Gerindra,"Ir. H. T. A. KHALID, M.M.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Hanura,Ir. H. ZULNAHAR USMAN,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PAN,Ir. MEUTIA SAFRIDA,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Nasdem,"IRSAN SOSIAWAN, M.B.A.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,Garuda,KARYAWATI,PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,Hanura,"KHALID SAPUTRA, S.Kom.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Ummat,"M. ARIS, S.Pd.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PKS,"M. NASIR DJAMIL, M.Si.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PKN,"M. PAISAL AK PUTEH, S.E.",LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,PDIP,"M. SALADIN AKBAR, S.ST.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Buruh,Marjuki,LAKI - LAKI,3
2024,DPR,ACEH ,ACEH II,PDIP,MAS ADI M,LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,Garuda,MAULUDDIN,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PBB,"MAWARDI, S.Pd.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Golkar,MOHD AMIN,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,PKB,"MUHAMMAD ADAM, M.Ed.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Ummat,"MUHAMMAD YUSUF, S.E.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,PSI,"MUHAMMAD ZUBIR, S.H., M.H.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PPP,MUNAWAR KHALIL,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Demokrat,"MUSLIM, S.H.I., M.M.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Garuda,"MUSTAFA ABDULLAH, S.E.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,PBB,MUZAKKIR,LAKI - LAKI,5
