Year,Election ,Province name,Candidate name,,,,,,,,,
2024,DPD,Kalimantan Barat,"Drs. CORNELIUS KIMHA, M.Si.",,,,,,,,,
2024,DPD,Kalimantan Barat,"Drs. T.T.A. NYARONG, M.Si.",,,,,,,,,
2024,DPD,Kalimantan Barat,FACHRUDIN DARAJAT SIREGAR,,,,,,,,,
2024,DPD,Kalimantan Barat,"H. PENSONG, S.E., M.Si.",,,,,,,,,
2024,DPD,Kalimantan Barat,"Hj. ERLINAWATI, S.H., M.A.P.",,,,,,,,,
2024,DPD,Kalimantan Barat,"Hj. RUBAETI ERLITA, S.Sos.I., S.H.",,,,,,,,,
2024,DPD,Kalimantan Barat,"MAKARIUS SINTONG, S.H., M.H.",,,,,,,,,
2024,DPD,Kalimantan Barat,"MARIA GORETI, S.SoS.,.M.Si.",,,,,,,,,
2024,DPD,Kalimantan Barat,"MAURITIUS ARYA TANJUNGPURA, S.Sos.",,,,,,,,,
2024,DPD,Kalimantan Barat,"SYARIF MELVIN, S.H.",,,,,,,,,
2024,DPD,Kalimantan Barat,"TUKIRIN SURYO ADINAGORO, S.E.",,,,,,,,,
2024,DPD,Kalimantan Selatan,"ANTUNG FATMAWATI, S.T.",,,,,,,,,
2024,DPD,Kalimantan Selatan,"Dr. H PANGERAN SYARIF ABDURRAHMAN BAHASYIM, M.M. HABIB BANUA.",,,,,,,,,
2024,DPD,Kalimantan Selatan,"H. GUSTI FARID HASAN AMAN, S.E., A.Kt., M.B.A.",,,,,,,,,
2024,DPD,Kalimantan Selatan,"H. HABIB UMAR AL IDRUS, S.M.",,,,,,,,,
2024,DPD,Kalimantan Selatan,"H. MUHAMMAD YAMIN, I.E.",,,,,,,,,
2024,DPD,Kalimantan Selatan,"HABIB HAMID ABDULLAH, S.H., M.H.",,,,,,,,,
2024,DPD,Kalimantan Selatan,HABIB ZAKARIA BAHASYIM,,,,,,,,,
2024,DPD,Kalimantan Selatan,"MUHAMMAD HIDAYATTOLLAH, S.Pd.",,,,,,,,,
2024,DPD,Kalimantan Selatan,"NANIK HAYATI, S.Sos.",,,,,,,,,
2024,DPD,Kalimantan Tengah,"BELLA BRITTANI BAHAT, S.T.",,,,,,,,,
2024,DPD,Kalimantan Tengah,"Dr. AGUSTIN TERAS NARANG, S.H.",,,,,,,,,
2024,DPD,Kalimantan Tengah,"dr. Hj. ERNI DARYANTI, M. Biomed.",,,,,,,,,
2024,DPD,Kalimantan Tengah,"Dr. Hj. ISWANTI DARWAN ALI, S.E., M.M.",,,,,,,,,
2024,DPD,Kalimantan Tengah,"Dr. PERDIE M. YOSEPH, M.A.",,,,,,,,,
2024,DPD,Kalimantan Tengah,"H SITI ASEANTI, S. ST., M. Keb.",,,,,,,,,
2024,DPD,Kalimantan Tengah,"H. AMANTO SURYA LANGKA, Lc.",,,,,,,,,
2024,DPD,Kalimantan Tengah,HABIB SAID ABDURRAHMAN,,,,,,,,,
2024,DPD,Kalimantan Tengah,HABIB SAYID ABI NAZAR ALHABSYI,,,,,,,,,
2024,DPD,Kalimantan Timur,"ABDUL JAWAD, 8.M. M.M.",,,,,,,,,
2024,DPD,Kalimantan Timur,"ADt. A. ZALDY IRZA PAHLEVY ABDURRASYID, S.SL., M.Farm.",,,,,,,,,
2024,DPD,Kalimantan Timur,AJ MIRNI MAWARNI 8.T. M.M.,,,,,,,,,
2024,DPD,Kalimantan Timur,"BUMADI, S.Sos.",,,,,,,,,
2024,DPD,Kalimantan Timur,"Dr. dr. ANDI 8ORYAN HABDAM, 8p.N.",,,,,,,,,
2024,DPD,Kalimantan Timur,"Dr. H. RENDI SUSISWO ISMAIL, S.H., M.H.",,,,,,,,,
2024,DPD,Kalimantan Timur,"Dt. YULIANUS HENOCK SUMUAL, S.H., M Si.",,,,,,,,,
2024,DPD,Kalimantan Timur,"H. ANDI FATHUL KHAIR, 8.808.",,,,,,,,,
2024,DPD,Kalimantan Timur,"H. JAFAR ABDUL GAFFAR, 8.Sos., M.H.",,,,,,,,,
2024,DPD,Kalimantan Timur,"H. MUHAMMAD FATHUR RAHMAN AL KUTAI, S.H., M.H.",,,,,,,,,
2024,DPD,Kalimantan Timur,"H. NANANG SULAIMAN, S.E.",,,,,,,,,
2024,DPD,Kalimantan Timur,"HABIB AHMAD BAHASYIM, 8.E., M.M.",,,,,,,,,
2024,DPD,Kalimantan Timur,"Ir. H. BAMBANG SUSILO, M.M.",,,,,,,,,
2024,DPD,Kalimantan Timur,"ir. H. EMIR MOE18, M.Sc.",,,,,,,,,
2024,DPD,Kalimantan Timur,K.H. FAHRUR RAZI,,,,,,,,,
2024,DPD,Kalimantan Timur,"KAMAL HARPA, S.Sos.",,,,,,,,,
2024,DPD,Kalimantan Timur,Mayjen TNI (Purn) SOBDARMO,,,,,,,,,
2024,DPD,Kalimantan Timur,NASPI ARSYAD,,,,,,,,,
2024,DPD,Kalimantan Timur,"SINTA ROSMA YENTI, S.A.P.",,,,,,,,,
2024,DPD,Kalimantan Timur,"ZAINAL ARIFIN, A.Md., Kep.",,,,,,,,,
2024,DPD,Kalimantan Utara,"ABD. DJALI FATAH, S.H., M.M.",,,,,,,,,
2024,DPD,Kalimantan Utara,"AJI MUHAMMAD ARI WEJAYA, S.J.",,,,,,,,,
2024,DPD,Kalimantan Utara,"Dr. Drs. HENDRIS DAMUS, M.SL.",,,,,,,,,
2024,DPD,Kalimantan Utara,"Dr. Drs. MARTHIN BILLA, M.M.",,,,,,,,,
2024,DPD,Kalimantan Utara,DT. BUYUNG PERKASA,,,,,,,,,
2024,DPD,Kalimantan Utara,"FERNANDO SINAGA, S.Th.",,,,,,,,,
2024,DPD,Kalimantan Utara,"H. HASAN BASRI, S.E., M.H.",,,,,,,,,
2024,DPD,Kalimantan Utara,H. ISMUNANDAR AZIS,,,,,,,,,
2024,DPD,Kalimantan Utara,"HERMAN, S.H.",,,,,,,,,
2024,DPD,Kalimantan Utara,"Hj. SRI SULARTININGSIH, S.I.Kom., M.I.Kom.",,,,,,,,,
2024,DPD,Kalimantan Utara,LARASATI MORISKA,,,,,,,,,
2024,DPD,Kalimantan Utara,MUHAMMAD FAJRI ALFA ROBI,,,,,,,,,
2024,DPD,Kalimantan Utara,"MUHAMMAD SYAWAL, SE. M.M.",,,,,,,,,
2024,DPD,Kalimantan Utara,"MUKLIS, S.H., M.H.",,,,,,,,,
2024,DPD,Kalimantan Utara,SISWANTARA,,,,,,,,,
2024,DPD,Kalimantan Utara,"SYAMSUDDIN, S.Pd., M.Pd., M.H.",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,ALEXANDER FRANSISCUS,,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"BAHAR BUASAN, S.T., M.Sc.",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"DARWIS, S.Ag-",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"DEDY YULIANTO, S.E.",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"DINDA REMBULAN, B.A.",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"Dr. H. BAMBANG DWI HARTONO, M.Si.",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"Dr. JUNAIDI ABDILLAH, S.H., M.H.",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"Dr. JUSTIAR NOER, M.Si.",,,,,,,,,
2024,DPD,KEP.Bangka Belitung,"FADJAR FAIRY RUSNI, S.H.",,,,,,,,,
