Year,Election ,Province name,Candidate name
2014,DPD,Jawa Timur,"SITI AMINAH, S.E., M.M."
2014,DPD,Jawa Timur,"SUBHAN, S.Pd."
2014,DPD,Jawa Timur,TITIN SUDARWATI
2014,DPD,Jawa Timur,"WARSONO, S.H."
2014,DPD,Jawa Timur,"WASIS SISWOYO, S.H."
2014,DPD,Jawa Timur,"WASONO NUGROHOHADI, S.H., M.H. "
2014,DPD,Jawa Timur,YULYANI
2014,DPD,Kalimantan Barat, Drs. H. Abdul Rahmi
2014,DPD,Kalimantan Barat,"Aminudin Arianto, S.Pd., M.Si"
2014,DPD,Kalimantan Barat,Doni Prasetya Satriadi
2014,DPD,Kalimantan Barat,Dra. Hj. Dewi Munawar
2014,DPD,Kalimantan Barat,"Drs. Agustinus Clarus, M.Si"
2014,DPD,Kalimantan Barat,"Drs. Jacobus Luna, M.Si"
2014,DPD,Kalimantan Barat,"Drs. P. E. Chunoi, M.Pd."
2014,DPD,Kalimantan Barat,Drs. Syafi'i
2014,DPD,Kalimantan Barat,Drs. Uray Usman Saidi. AS
2014,DPD,Kalimantan Barat,Drs. Yakobus Kumis
2014,DPD,Kalimantan Barat,"Ev. Lawadi Nusah, S.Pd.K."
2014,DPD,Kalimantan Barat,F.X. Trides Mecer
2014,DPD,Kalimantan Barat,H. Agus Hendro Prayitno
2014,DPD,Kalimantan Barat,H. Ishaq Saleh
2014,DPD,Kalimantan Barat,Hendra Nurdiansyah
2014,DPD,Kalimantan Barat,"Hj. Hairiah, S.H., M.H."
2014,DPD,Kalimantan Barat,"Hj. Rubaeti Erlita, S.Sos.I, S.H. "
2014,DPD,Kalimantan Barat,Imam Muhadi
2014,DPD,Kalimantan Barat,"Indra Noviansyah, S.E."
2014,DPD,Kalimantan Barat,Ir. Hizas Abd. Hamid
2014,DPD,Kalimantan Barat,Klemen Apui
2014,DPD,Kalimantan Barat,"M. Tamsil Sjoekoer, S.H."
2014,DPD,Kalimantan Barat,"M.Musa Surin, S.H., M.H."
2014,DPD,Kalimantan Barat,"Maria Goreti, S.Sos., M.Si."
2014,DPD,Kalimantan Barat,"Nagian Imawan, S.Sos"
2014,DPD,Kalimantan Barat,Nobertus Rocki Susanto
2014,DPD,Kalimantan Barat,Oesman Sapta
2014,DPD,Kalimantan Barat,"Pdt. Barnabas Simin, M.Pd.K"
2014,DPD,Kalimantan Barat,Pdt. Drs. B. Moses Siong
2014,DPD,Kalimantan Barat,"Petrus SA, S.H."
2014,DPD,Kalimantan Barat,"Sakpin Prokhorus, S.Th., M.Pd.K. "
2014,DPD,Kalimantan Barat,"Syafrial Nur, S.H., M.Pd."
2014,DPD,Kalimantan Barat,"Usmandy S. S.Sos., M.Si."
2014,DPD,Kalimantan Barat,"Zakaria, S.H."
2014,DPD,Kalimantan Selatan,Achmad Husaini
2014,DPD,Kalimantan Selatan,"Antung Fatmawati, S.T."
2014,DPD,Kalimantan Selatan,"Berry Nahdian Forqan, S.P., M.S. "
2014,DPD,Kalimantan Selatan,"Dra. Titien Agustina, M.Si"
2014,DPD,Kalimantan Selatan,"Drs. Abdussani, M.I.Kom"
2014,DPD,Kalimantan Selatan,"Drs. H. M. Sofwat Hadi, S.H"
2014,DPD,Kalimantan Selatan,Drs. H. Mansyah Sabri
2014,DPD,Kalimantan Selatan,"Drs. H. Masderiansyah, M.Si"
2014,DPD,Kalimantan Selatan,Drs. H. Sumiadi Burhan
2014,DPD,Kalimantan Selatan,"H. Gusti Farid Hasan Aman, S.E., Akt., M.B.A"
2014,DPD,Kalimantan Selatan,"H. M. Husaini Aliman, S.E., M.M"
2014,DPD,Kalimantan Selatan,"H. M. Suriani Shiddiq, S.Ag., M.Si"
2014,DPD,Kalimantan Selatan,Habib Abdurrahman Bahasyim
2014,DPD,Kalimantan Selatan,"Habib Hamid Abdullah, S.H., M.H"
2014,DPD,Kalimantan Selatan,Ir. Anang Rosadi Adenansi
2014,DPD,Kalimantan Selatan,Kol. Inf. (Purn.) Nasib Alamsyah
2014,DPD,Kalimantan Selatan,"Yuria Wati Zai Rose, S.E"
2014,DPD,Kalimantan Tengah,Drs. Jecky Dahir 
2014,DPD,Kalimantan Tengah,H. A. Mas'ad Ikhsan
2014,DPD,Kalimantan Tengah,"H. Asrani, S.E"
2014,DPD,Kalimantan Tengah,H. Mohammad Ali
2014,DPD,Kalimantan Tengah,"H. Muhammad Rakhman, S.E., S.T"
2014,DPD,Kalimantan Tengah,"H. Said Ahmad Fauzi Bahsin, S.Hi"
2014,DPD,Kalimantan Tengah,H. Sholeh Anshori. S.Pd.i 
2014,DPD,Kalimantan Tengah,Habib H. Said Ismail
2014,DPD,Kalimantan Tengah,"Heriadi, S.T"
2014,DPD,Kalimantan Tengah,"Hj. Permana Sari, S.Si., M.M., M.B.A"
2014,DPD,Kalimantan Tengah,Ir. H. Antang Dwi Dasono
2014,DPD,Kalimantan Tengah,"Ir. H. Mohammad Mawardi, M.M., M.Si"
2014,DPD,Kalimantan Tengah,Ir. Kusmayadi
2014,DPD,Kalimantan Tengah,"Muliadi, S.E"
2014,DPD,Kalimantan Tengah,Napa J. awat
2014,DPD,Kalimantan Tengah,Pdt. Rugas Binti
